station_name,longitude,latitude,timestamp,rainfall_mm,related_facility,node_id
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:00:00,0.1,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:05:00,0.4,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:10:00,0.0,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:15:00,0.0,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:20:00,0.0,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:25:00,0.4,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:30:00,0.0,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:35:00,0.2,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:40:00,0.0,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:45:00,0.1,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:50:00,0.1,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 00:55:00,0.5,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:00:00,0.1,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:05:00,0.7,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:10:00,0.3,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:15:00,0.7,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:20:00,0.5,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:25:00,1.2,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:30:00,1.0,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:35:00,1.7,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:40:00,2.2,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:45:00,2.4,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:50:00,2.3,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 01:55:00,3.1,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:00:00,3.2,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:05:00,3.4,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:10:00,4.1,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:15:00,4.2,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:20:00,3.7,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:25:00,5.0,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:30:00,4.3,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:35:00,4.6,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:40:00,4.3,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:45:00,4.0,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:50:00,3.7,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 02:55:00,3.4,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 03:00:00,3.0,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 03:05:00,2.6,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 03:10:00,2.8,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 03:15:00,2.1,Shatin SPS,JN-104
Shatin Pumping Station North Gauge,114.2213,22.3918,2026-03-24 03:20:00,1.6,Shatin SPS,JN-104
