station_id,region,time,hourly_rainfall_mm,rainfall_level
Station_A,North Zone,2026-03-24 00:00,1.9,Trace
Station_A,North Zone,2026-03-24 01:00,16.3,Heavy Rain
Station_A,North Zone,2026-03-24 02:00,48.0,Heavy Rain
Station_A,North Zone,2026-03-24 03:00,20.4,Heavy Rain
Station_A,North Zone,2026-03-24 04:00,59.5,Heavy Rain
Station_A,North Zone,2026-03-24 05:00,50.9,Heavy Rain
Station_A,North Zone,2026-03-24 06:00,31.2,Heavy Rain
Station_A,North Zone,2026-03-24 07:00,14.4,Moderate Rain
Station_B,Central Zone,2026-03-24 00:00,3.0,Light Rain
Station_B,Central Zone,2026-03-24 01:00,12.5,Moderate Rain
Station_B,Central Zone,2026-03-24 02:00,45.2,Heavy Rain
Station_B,Central Zone,2026-03-24 03:00,18.7,Heavy Rain
Station_B,Central Zone,2026-03-24 04:00,52.1,Heavy Rain
Station_B,Central Zone,2026-03-24 05:00,43.8,Heavy Rain
Station_B,Central Zone,2026-03-24 06:00,28.9,Heavy Rain
Station_B,Central Zone,2026-03-24 07:00,13.6,Moderate Rain
Station_C,East Zone,2026-03-24 00:00,2.8,Light Rain
Station_C,East Zone,2026-03-24 01:00,14.1,Moderate Rain
Station_C,East Zone,2026-03-24 02:00,48.5,Heavy Rain
Station_C,East Zone,2026-03-24 03:00,19.2,Heavy Rain
Station_C,East Zone,2026-03-24 04:00,58.7,Heavy Rain
Station_C,East Zone,2026-03-24 05:00,49.3,Heavy Rain
Station_C,East Zone,2026-03-24 06:00,30.5,Heavy Rain
Station_C,East Zone,2026-03-24 07:00,15.8,Moderate Rain
Station_D,South Zone,2026-03-24 00:00,1.5,Trace
Station_D,South Zone,2026-03-24 01:00,15.9,Moderate Rain
Station_D,South Zone,2026-03-24 02:00,46.8,Heavy Rain
Station_D,South Zone,2026-03-24 03:00,17.4,Heavy Rain
Station_D,South Zone,2026-03-24 04:00,56.2,Heavy Rain
Station_D,South Zone,2026-03-24 05:00,47.1,Heavy Rain
Station_D,South Zone,2026-03-24 06:00,29.8,Heavy Rain
Station_D,South Zone,2026-03-24 07:00,14.9,Moderate Rain
Station_E,West Zone,2026-03-24 00:00,2.1,Light Rain
Station_E,West Zone,2026-03-24 01:00,13.7,Moderate Rain
Station_E,West Zone,2026-03-24 02:00,44.9,Heavy Rain
Station_E,West Zone,2026-03-24 03:00,16.8,Heavy Rain
Station_E,West Zone,2026-03-24 04:00,54.3,Heavy Rain
Station_E,West Zone,2026-03-24 05:00,45.6,Heavy Rain
Station_E,West Zone,2026-03-24 06:00,28.2,Heavy Rain
Station_E,West Zone,2026-03-24 07:00,13.1,Moderate Rain
Station_F,North Zone,2026-03-24 00:00,2.4,Light Rain
Station_F,North Zone,2026-03-24 01:00,14.5,Moderate Rain
Station_F,North Zone,2026-03-24 02:00,47.2,Heavy Rain
Station_F,North Zone,2026-03-24 03:00,18.1,Heavy Rain
Station_F,North Zone,2026-03-24 04:00,57.9,Heavy Rain
Station_F,North Zone,2026-03-24 05:00,48.4,Heavy Rain
Station_F,North Zone,2026-03-24 06:00,30.1,Heavy Rain
Station_F,North Zone,2026-03-24 07:00,15.2,Moderate Rain
Station_G,North Zone,2026-03-24 00:00,1.7,Trace
Station_G,North Zone,2026-03-24 01:00,15.3,Moderate Rain
Station_G,North Zone,2026-03-24 02:00,46.1,Heavy Rain
Station_G,North Zone,2026-03-24 03:00,17.9,Heavy Rain
Station_G,North Zone,2026-03-24 04:00,55.8,Heavy Rain
Station_G,North Zone,2026-03-24 05:00,46.7,Heavy Rain
Station_G,North Zone,2026-03-24 06:00,29.4,Heavy Rain
Station_G,North Zone,2026-03-24 07:00,14.6,Moderate Rain
Station_H,East Zone,2026-03-24 00:00,2.3,Light Rain
Station_H,East Zone,2026-03-24 01:00,13.9,Moderate Rain
Station_H,East Zone,2026-03-24 02:00,45.5,Heavy Rain
Station_H,East Zone,2026-03-24 03:00,17.2,Heavy Rain
Station_H,East Zone,2026-03-24 04:00,53.6,Heavy Rain
Station_H,East Zone,2026-03-24 05:00,44.9,Heavy Rain
Station_H,East Zone,2026-03-24 06:00,27.8,Heavy Rain
Station_H,East Zone,2026-03-24 07:00,13.3,Moderate Rain
Station_I,North Zone,2026-03-24 00:00,1.8,Trace
Station_I,North Zone,2026-03-24 01:00,14.8,Moderate Rain
Station_I,North Zone,2026-03-24 02:00,46.4,Heavy Rain
Station_I,North Zone,2026-03-24 03:00,18.3,Heavy Rain
Station_I,North Zone,2026-03-24 04:00,56.5,Heavy Rain
Station_I,North Zone,2026-03-24 05:00,47.5,Heavy Rain
Station_I,North Zone,2026-03-24 06:00,30.0,Heavy Rain
Station_I,North Zone,2026-03-24 07:00,15.0,Moderate Rain
Station_J,North Zone,2026-03-24 00:00,1.6,Trace
Station_J,North Zone,2026-03-24 01:00,14.2,Moderate Rain
Station_J,North Zone,2026-03-24 02:00,45.8,Heavy Rain
Station_J,North Zone,2026-03-24 03:00,17.6,Heavy Rain
Station_J,North Zone,2026-03-24 04:00,54.9,Heavy Rain
Station_J,North Zone,2026-03-24 05:00,46.0,Heavy Rain
Station_J,North Zone,2026-03-24 06:00,28.7,Heavy Rain
Station_J,North Zone,2026-03-24 07:00,14.1,Moderate Rain
Station_K,South Zone,2026-03-24 00:00,2.0,Light Rain
Station_K,South Zone,2026-03-24 01:00,13.5,Moderate Rain
Station_K,South Zone,2026-03-24 02:00,44.2,Heavy Rain
Station_K,South Zone,2026-03-24 03:00,16.5,Heavy Rain
Station_K,South Zone,2026-03-24 04:00,52.8,Heavy Rain
Station_K,South Zone,2026-03-24 05:00,44.1,Heavy Rain
Station_K,South Zone,2026-03-24 06:00,27.3,Heavy Rain
Station_K,South Zone,2026-03-24 07:00,12.8,Moderate Rain
Station_L,East Zone,2026-03-24 00:00,2.2,Light Rain
Station_L,East Zone,2026-03-24 01:00,13.8,Moderate Rain
Station_L,East Zone,2026-03-24 02:00,45.0,Heavy Rain
Station_L,East Zone,2026-03-24 03:00,17.0,Heavy Rain
Station_L,East Zone,2026-03-24 04:00,53.2,Heavy Rain
Station_L,East Zone,2026-03-24 05:00,44.5,Heavy Rain
Station_L,East Zone,2026-03-24 06:00,27.5,Heavy Rain
Station_L,East Zone,2026-03-24 07:00,13.0,Moderate Rain
