进水氨氮,出水氨氮,进水总氮,出水总氮,进水流量,出水流量,进水COD,出水COD,进水水温,出水水温,好氧池氨氮,好氧池硝氮,好氧池-MLSS,好氧池进水DO,好氧池出水DO
28.6269,37.9803,979.9577,171.8,22.0298,0.1999,11.2629,6699.751,0.5079,1.2405,0.5827,10.7427,6801.4292,0.4078,0.6932
28.6269,37.9803,974.3564,171.8,22.0423,0.192,11.1883,6602.7832,0.4443,1.2794,0.5512,11.624,6752.3569,0.4871,0.6206
28.6269,37.9803,998.8268,171.8,22.0544,0.1979,11.1235,6663.6338,0.5311,1.4462,0.5866,11.0803,6764.5269,0.3941,0.6453
28.6269,37.9803,955.3912,171.8,22.0682,0.192,11.1883,6629.4785,0.5476,1.3072,0.7181,7.7571,6706.4248,0.42,0.747
28.6269,37.9803,982.8863,171.8,22.0754,0.1999,11.0921,6675.8032,0.5904,1.5573,0.7299,7.1093,6720.9502,0.5476,0.6658
28.6269,37.9803,992.7335,171.8,22.0751,0.194,11.1922,6670.6997,0.5232,1.3426,0.6631,8.2066,6680.5142,0.5201,0.7765
28.6269,37.9803,1060.2136,171.8,22.0783,0.1999,10.9213,6702.1064,0.4648,1.394,0.8319,6.1828,6685.2256,0.4475,0.7965
28.6269,37.9803,1022.3658,185.9,22.0847,0.196,11.0234,6689.9365,0.4918,1.5459,0.6474,8.5501,6642.041,0.5056,0.7875
28.6269,38.7684,992.6085,185.9,22.093,0.192,10.9841,6616.5234,0.513,1.5805,0.8692,5.7765,6646.3594,0.6002,0.6846
28.6269,41.1326,1004.4402,185.9,22.1004,0.2038,10.8251,6547.4292,0.4455,1.5989,0.8005,5.908,6646.3594,0.4388,0.8585
28.6269,41.1326,1127.0326,185.9,22.1045,0.2058,10.9272,6517.1997,0.6677,1.8879,0.9046,5.4625,6661.2778,0.4706,0.8016
28.6269,41.1326,1082.522,185.9,22.1196,0.2038,10.7191,6629.0859,0.5923,1.8934,0.7083,6.6657,6693.8623,0.5598,1.1769
28.6269,41.1326,1045.7537,185.9,22.1419,0.2038,10.7191,6650.2852,0.537,2.0378,0.7691,5.9767,6733.5127,0.5499,1.6009
28.6269,41.1326,1017.9954,185.9,22.1515,0.2018,10.3442,6514.8442,0.5013,2.0312,0.7161,7.1407,6712.3135,0.4051,1.7732
28.6269,41.1326,1011.0896,185.9,22.1496,0.194,10.2991,6631.4409,0.4483,2.2137,0.7868,5.9453,6768.4531,0.4432,1.9966
28.6269,41.1326,972.5899,185.9,22.141,0.192,10.1636,6704.8545,0.473,2.4689,0.8378,5.6686,6808.1035,0.5507,2.2816
28.6269,41.1326,1092.682,185.9,22.1342,0.1979,10.1342,6650.2852,0.5091,2.4873,0.7888,5.8433,6820.2739,0.581,2.4559
28.6269,41.1326,1135.2516,185.9,22.1332,0.196,10.0321,6650.2852,0.5276,2.6189,0.7593,5.9807,6847.3618,0.4008,2.5871
28.6269,41.1326,1086.6666,185.9,22.1493,0.1999,9.932,6609.457,0.6104,2.7747,0.7986,5.8158,6868.5615,0.3996,2.6997
28.6269,41.1326,1063.9023,185.9,22.1667,0.2058,9.9359,6670.6997,0.4746,2.9184,0.6926,6.5283,6852.4658,0.4683,2.8646
28.6269,41.1326,966.3342,185.9,22.1679,0.192,9.7868,6535.2588,0.4196,3.2038,0.6867,6.8718,6866.9907,0.4593,2.9372
28.6269,41.1326,1036.0743,185.9,22.1637,0.2018,9.7966,6501.104,0.5232,3.1912,0.7161,6.3242,6929.4121,0.3803,2.9859
