PINN Training Results
==================================================
Final c value: 1.000249
Error in c: 0.000249
Final training loss: 1.526947e-06

Training History:
Epoch 1: loss=4.424922e-01, c=0.500000
Epoch 2: loss=6.233308e-01, c=0.500000
Epoch 3: loss=4.326148e-01, c=0.500000
Epoch 4: loss=4.097559e-01, c=0.500000
Epoch 5: loss=4.374791e-01, c=0.500000
Epoch 6: loss=4.231418e-01, c=0.500000
Epoch 7: loss=3.914944e-01, c=0.500000
Epoch 8: loss=3.740406e-01, c=0.500000
Epoch 9: loss=3.696904e-01, c=0.500000
Epoch 10: loss=3.618198e-01, c=0.500000
Epoch 11: loss=3.392167e-01, c=0.500000
Epoch 12: loss=3.119365e-01, c=0.500000
Epoch 13: loss=2.941261e-01, c=0.500000
Epoch 14: loss=2.803309e-01, c=0.500000
Epoch 15: loss=2.627464e-01, c=0.500000
Epoch 16: loss=2.391180e-01, c=0.500000
Epoch 17: loss=2.190520e-01, c=0.500000
Epoch 18: loss=2.032935e-01, c=0.500000
Epoch 19: loss=1.875021e-01, c=0.500000
Epoch 20: loss=1.564726e-01, c=0.500000
Epoch 21: loss=1.319804e-01, c=0.500000
Epoch 22: loss=1.100716e-01, c=0.500000
Epoch 23: loss=9.782632e-02, c=0.500000
Epoch 24: loss=8.551000e-02, c=0.500000
Epoch 25: loss=6.747364e-02, c=0.500000
Epoch 26: loss=5.858579e-02, c=0.500000
Epoch 27: loss=5.651653e-02, c=0.500000
Epoch 28: loss=5.270068e-02, c=0.500000
Epoch 29: loss=4.840288e-02, c=0.500000
Epoch 30: loss=4.364174e-02, c=0.500000
Epoch 31: loss=3.861367e-02, c=0.500000
Epoch 32: loss=3.349111e-02, c=0.500000
Epoch 33: loss=3.299640e-02, c=0.500000
Epoch 34: loss=3.370216e-02, c=0.500000
Epoch 35: loss=2.775384e-02, c=0.500000
Epoch 36: loss=2.024305e-02, c=0.500000
Epoch 37: loss=2.054936e-02, c=0.500000
Epoch 38: loss=2.596940e-02, c=0.500000
Epoch 39: loss=2.778110e-02, c=0.500000
Epoch 40: loss=2.080118e-02, c=0.500000
Epoch 41: loss=1.261265e-02, c=0.500000
Epoch 42: loss=1.400994e-02, c=0.500000
Epoch 43: loss=1.805264e-02, c=0.500000
Epoch 44: loss=1.395395e-02, c=0.500000
Epoch 45: loss=8.716835e-03, c=0.500000
Epoch 46: loss=1.092051e-02, c=0.500000
Epoch 47: loss=1.328335e-02, c=0.500000
Epoch 48: loss=1.000786e-02, c=0.500000
Epoch 49: loss=7.822599e-03, c=0.500000
Epoch 50: loss=9.822315e-03, c=0.500000
Epoch 51: loss=1.061860e-02, c=0.500000
Epoch 52: loss=8.324437e-03, c=0.500000
Epoch 53: loss=8.027984e-03, c=0.500000
Epoch 54: loss=9.408098e-03, c=0.500000
Epoch 55: loss=8.736363e-03, c=0.500000
Epoch 56: loss=7.506718e-03, c=0.500000
Epoch 57: loss=7.956421e-03, c=0.500000
Epoch 58: loss=8.886932e-03, c=0.500000
Epoch 59: loss=8.241074e-03, c=0.500000
Epoch 60: loss=7.295212e-03, c=0.500000
Epoch 61: loss=7.772659e-03, c=0.500000
Epoch 62: loss=8.330490e-03, c=0.500000
Epoch 63: loss=7.666116e-03, c=0.500000
Epoch 64: loss=6.956425e-03, c=0.500000
Epoch 65: loss=7.313911e-03, c=0.500000
Epoch 66: loss=7.801425e-03, c=0.500000
Epoch 67: loss=7.562660e-03, c=0.500000
Epoch 68: loss=6.943997e-03, c=0.500000
Epoch 69: loss=6.663482e-03, c=0.500000
